# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 388K of event 'cpu/cycles/P'
# Event count (approx.): 265000054100
#
# Overhead  Command          Shared Object            Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# ........  ...............  .......................  ........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    88.67%  point_cloud_col  point_cloud_collimation  [.] GridIndex::nearest(Point const&, Point&, double&) const
     3.36%  point_cloud_col  libc.so.6                [.] __mpn_divrem
     1.45%  point_cloud_col  libc.so.6                [.] __printf_fp_buffer_1.isra.0
     0.42%  point_cloud_col  point_cloud_collimation  [.] GridIndex::GridIndex(std::vector<Point, std::allocator<Point> > const&, double)
     0.40%  point_cloud_col  libc.so.6                [.] hack_digit
     0.39%  point_cloud_col  point_cloud_collimation  [.] draw_cloud(std::vector<unsigned char, std::allocator<unsigned char> >&, std::vector<Point, std::allocator<Point> > const&, int, int, unsigned char, unsigned char, unsigned char) [clone .constprop.0]
     0.31%  point_cloud_col  libm.so.6                [.] __llround
     0.26%  point_cloud_col  libc.so.6                [.] __printf_buffer
     0.24%  point_cloud_col  libc.so.6                [.] __memmove_avx_unaligned_erms
     0.22%  point_cloud_col  libc.so.6                [.] __mpn_mul_1
     0.22%  point_cloud_col  libstdc++.so.6.0.35      [.] std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)
     0.21%  point_cloud_col  point_cloud_collimation  [.] percentile(std::vector<double, std::allocator<double> >, double)
     0.20%  point_cloud_col  libstdc++.so.6.0.35      [.] std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_float<double>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, char, double) const
     0.16%  point_cloud_col  libstdc++.so.6.0.35      [.] std::basic_filebuf<char, std::char_traits<char> >::xsputn(char const*, long)
     0.16%  point_cloud_col  libstdc++.so.6.0.35      [.] std::basic_streambuf<char, std::char_traits<char> >::xsputn(char const*, long)
     0.12%  point_cloud_col  [kernel.kallsyms]        [k] __irqentry_text_end
     0.09%  point_cloud_col  libstdc++.so.6.0.35      [.] std::ostream& std::ostream::_M_insert<double>(double)
     0.09%  point_cloud_col  point_cloud_collimation  [.] compare_profiles(std::vector<Point, std::allocator<Point> > const&, std::vector<Point, std::allocator<Point> > const&, double, double) [clone .constprop.0]
     0.09%  point_cloud_col  point_cloud_collimation  [.] nearest_neighbor_distances(GridIndex const&, std::vector<Point, std::allocator<Point> > const&, double) [clone .constprop.0]
     0.08%  point_cloud_col  libstdc++.so.6.0.35      [.] std::ostream::sentry::sentry(std::ostream&)
     0.08%  point_cloud_col  [kernel.kallsyms]        [k] task_tick_fair
     0.08%  point_cloud_col  [kernel.kallsyms]        [k] error_entry
     0.08%  point_cloud_col  libc.so.6                [.] __strchrnul_avx2
     0.07%  point_cloud_col  libc.so.6                [.] __uselocale
     0.07%  point_cloud_col  libc.so.6                [.] __printf_buffer_write
     0.07%  point_cloud_col  point_cloud_collimation  [.] collimate_icp(std::vector<Point, std::allocator<Point> > const&, std::vector<Point, std::allocator<Point> > const&, bool)
