# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 364K of event 'cpu/cycles/P'
# Event count (approx.): 245777062108
#
# Overhead  Command          Shared Object            Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# ........  ...............  .......................  ........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    97.14%  point_cloud_col  point_cloud_collimation  [.] GridIndex::nearest(Point const&, Point&, double&) const
     0.48%  point_cloud_col  point_cloud_collimation  [.] GridIndex::GridIndex(std::vector<Point, std::allocator<Point> > const&, double)
     0.23%  point_cloud_col  point_cloud_collimation  [.] percentile(std::vector<double, std::allocator<double> >, double)
     0.16%  point_cloud_col  [kernel.kallsyms]        [k] __irqentry_text_end
     0.10%  point_cloud_col  point_cloud_collimation  [.] compare_profiles(std::vector<Point, std::allocator<Point> > const&, std::vector<Point, std::allocator<Point> > const&, double, double) [clone .constprop.0]
     0.09%  point_cloud_col  [kernel.kallsyms]        [k] error_entry
     0.09%  point_cloud_col  [kernel.kallsyms]        [k] task_tick_fair
     0.09%  point_cloud_col  point_cloud_collimation  [.] nearest_neighbor_distances(GridIndex const&, std::vector<Point, std::allocator<Point> > const&, double) [clone .constprop.0]
     0.08%  point_cloud_col  point_cloud_collimation  [.] collimate_icp(std::vector<Point, std::allocator<Point> > const&, std::vector<Point, std::allocator<Point> > const&, bool)
     0.07%  point_cloud_col  libc.so.6                [.] __memmove_avx_unaligned_erms
     0.06%  point_cloud_col  point_cloud_collimation  [.] apply_transform(std::vector<Point, std::allocator<Point> > const&, Transform2D const&)
     0.06%  point_cloud_col  libm.so.6                [.] __sincos_fma
     0.05%  point_cloud_col  [kernel.kallsyms]        [k] update_curr
     0.04%  point_cloud_col  [kernel.kallsyms]        [k] perf_adjust_freq_unthr_context
     0.03%  point_cloud_col  [kernel.kallsyms]        [k] timerqueue_add
     0.03%  point_cloud_col  [kernel.kallsyms]        [k] __update_load_avg_se
     0.03%  point_cloud_col  [kernel.kallsyms]        [k] update_se
     0.03%  point_cloud_col  [kernel.kallsyms]        [k] reweight_entity
     0.03%  point_cloud_col  [kernel.kallsyms]        [k] __update_load_avg_cfs_rq
     0.03%  point_cloud_col  [kernel.kallsyms]        [k] sync_regs
     0.02%  point_cloud_col  [kernel.kallsyms]        [k] native_irq_return_iret
     0.02%  point_cloud_col  [kernel.kallsyms]        [k] update_cfs_group
     0.02%  point_cloud_col  [kernel.kallsyms]        [k] update_cfs_rq_load_avg
     0.02%  point_cloud_col  [kernel.kallsyms]        [k] native_write_msr
     0.02%  point_cloud_col  [kernel.kallsyms]        [k] __hrtimer_run_queues
     0.02%  point_cloud_col  [kernel.kallsyms]        [k] account_user_time
     0.02%  point_cloud_col  [kernel.kallsyms]        [k] _raw_spin_lock
     0.02%  point_cloud_col  [kernel.kallsyms]        [k] hrtimer_interrupt
     0.02%  point_cloud_col  point_cloud_collimation  [.] double std::normal_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::normal_distribution<double>::param_type const&) [clone .isra.0]
     0.02%  point_cloud_col  [kernel.kallsyms]        [k] timekeeping_update_from_shadow
     0.02%  point_cloud_col  [kernel.kallsyms]        [k] __calc_delta.constprop.0
     0.02%  point_cloud_col  libc.so.6                [.] malloc
     0.01%  point_cloud_col  libc.so.6                [.] _int_malloc
     0.01%  point_cloud_col  [kernel.kallsyms]        [k] sched_tick
     0.01%  point_cloud_col  libc.so.6                [.] _int_free_merge_chunk
     0.01%  point_cloud_col  [kernel.kallsyms]        [k] rb_next
     0.01%  point_cloud_col  [kernel.kallsyms]        [k] __cgroup_account_cputime_field
     0.01%  point_cloud_col  [kernel.kallsyms]        [k] nohz_balancer_kick
     0.01%  point_cloud_col  [kernel.kallsyms]        [k] __timekeeping_advance
     0.01%  point_cloud_col  [kernel.kallsyms]        [k] fpregs_assert_state_consistent
     0.01%  point_cloud_col  [kernel.kallsyms]        [k] run_posix_cpu_timers
     0.01%  point_cloud_col  [kernel.kallsyms]        [k] arch_exit_to_user_mode_prepare.isra.0
     0.01%  point_cloud_col  [kernel.kallsyms]        [k] update_entity_lag
     0.01%  point_cloud_col  [kernel.kallsyms]        [k] acct_account_cputime
     0.01%  point_cloud_col  [kernel.kallsyms]        [k] tick_program_event
     0.01%  point_cloud_col  [kernel.kallsyms]        [k] __raw_spin_lock_irqsave
     0.01%  point_cloud_col  [kernel.kallsyms]        [k] kernel_init_pages
     0.01%  point_cloud_col  [kernel.kallsyms]        [k] __sysvec_apic_timer_interrupt
     0.01%  point_cloud_col  [kernel.kallsyms]        [k] tick_do_update_jiffies64
     0.01%  point_cloud_col  [kernel.kallsyms]        [k] irqentry_exit
     0.01%  point_cloud_col  libc.so.6                [.] cfree@GLIBC_2.2.5
     0.01%  point_cloud_col  [kernel.kallsyms]        [k] timekeeping_adjust
     0.01%  point_cloud_col  [kernel.kallsyms]        [k] ntp_tick_length
     0.01%  point_cloud_col  [kernel.kallsyms]        [k] perf_event_task_tick
     0.01%  point_cloud_col  [kernel.kallsyms]        [k] place_entity
