region,iteration,milliseconds
target_generation,1,7.778536
source_transform_deform_noise,1,23.009574
grid_index_construction,0,2.640304
grid_index_construction,0,5.228067
profile_metrics,0,514.600558
nearest_neighbor_search,1,237.925091
estimate_transform,1,0.458022
grid_index_construction,1,4.751657
profile_metrics,1,464.425105
nearest_neighbor_search,2,222.766598
estimate_transform,2,0.438774
grid_index_construction,2,4.664776
profile_metrics,2,494.064476
nearest_neighbor_search,3,306.546258
estimate_transform,3,0.408300
grid_index_construction,3,5.756611
profile_metrics,3,604.692455
nearest_neighbor_search,4,219.158898
estimate_transform,4,0.375553
grid_index_construction,4,4.734095
profile_metrics,4,462.825508
nearest_neighbor_search,5,215.492681
estimate_transform,5,0.389735
grid_index_construction,5,4.721989
profile_metrics,5,439.489263
nearest_neighbor_search,6,205.319606
estimate_transform,6,0.657379
grid_index_construction,6,4.639657
profile_metrics,6,429.577950
nearest_neighbor_search,7,203.547893
estimate_transform,7,0.582172
grid_index_construction,7,4.475654
profile_metrics,7,426.247892
nearest_neighbor_search,8,207.256823
estimate_transform,8,0.693235
grid_index_construction,8,4.530241
profile_metrics,8,425.505974
nearest_neighbor_search,9,201.483776
estimate_transform,9,0.403576
grid_index_construction,9,4.513477
profile_metrics,9,397.874401
nearest_neighbor_search,10,197.194433
estimate_transform,10,0.391758
grid_index_construction,10,4.551613
profile_metrics,10,383.541340
nearest_neighbor_search,11,188.021788
estimate_transform,11,0.455883
grid_index_construction,11,4.496057
profile_metrics,11,381.639465
nearest_neighbor_search,12,189.925711
estimate_transform,12,0.404915
grid_index_construction,12,4.861063
profile_metrics,12,375.193728
nearest_neighbor_search,13,188.631513
estimate_transform,13,0.967843
grid_index_construction,13,4.773976
profile_metrics,13,372.384392
nearest_neighbor_search,14,184.523022
estimate_transform,14,0.529850
grid_index_construction,14,4.807278
profile_metrics,14,390.454420
nearest_neighbor_search,15,182.226112
estimate_transform,15,0.402131
grid_index_construction,15,4.511119
profile_metrics,15,359.369741
nearest_neighbor_search,16,186.454732
estimate_transform,16,0.520139
grid_index_construction,16,4.817573
profile_metrics,16,366.673494
nearest_neighbor_search,17,183.458391
estimate_transform,17,0.681817
grid_index_construction,17,4.470179
profile_metrics,17,368.124915
nearest_neighbor_search,18,182.542084
estimate_transform,18,0.423601
grid_index_construction,18,5.138432
profile_metrics,18,363.877269
nearest_neighbor_search,19,184.191627
estimate_transform,19,0.419421
grid_index_construction,19,4.880187
profile_metrics,19,353.579501
nearest_neighbor_search,20,180.953214
