region,iteration,milliseconds
target_generation,1,6.843959
source_transform_deform_noise,1,21.173787
grid_index_construction,0,2.379827
grid_index_construction,0,4.605499
profile_metrics,0,449.039315
nearest_neighbor_search,1,214.171600
estimate_transform,1,0.429239
grid_index_construction,1,4.218263
profile_metrics,1,449.024385
nearest_neighbor_search,2,215.858362
estimate_transform,2,0.436105
grid_index_construction,2,4.271319
profile_metrics,2,439.663051
nearest_neighbor_search,3,208.315948
estimate_transform,3,0.446023
grid_index_construction,3,4.362288
profile_metrics,3,432.378013
nearest_neighbor_search,4,203.842577
estimate_transform,4,0.422337
grid_index_construction,4,4.209830
profile_metrics,4,427.290566
nearest_neighbor_search,5,203.214399
estimate_transform,5,0.420237
grid_index_construction,5,4.359854
profile_metrics,5,418.947637
nearest_neighbor_search,6,197.825306
estimate_transform,6,0.455003
grid_index_construction,6,4.155640
profile_metrics,6,412.641712
nearest_neighbor_search,7,199.650176
estimate_transform,7,0.433337
grid_index_construction,7,4.209497
profile_metrics,7,402.789184
nearest_neighbor_search,8,190.013408
estimate_transform,8,0.413016
grid_index_construction,8,4.262896
profile_metrics,8,397.845670
nearest_neighbor_search,9,191.576462
estimate_transform,9,0.451410
grid_index_construction,9,4.305914
profile_metrics,9,387.204825
nearest_neighbor_search,10,185.652053
estimate_transform,10,0.462517
grid_index_construction,10,4.258484
profile_metrics,10,378.419191
nearest_neighbor_search,11,185.070908
estimate_transform,11,0.437125
grid_index_construction,11,4.288853
profile_metrics,11,370.690895
nearest_neighbor_search,12,179.580658
estimate_transform,12,0.415705
grid_index_construction,12,4.408606
profile_metrics,12,366.270615
nearest_neighbor_search,13,182.902931
estimate_transform,13,0.362570
grid_index_construction,13,4.540356
profile_metrics,13,358.643523
nearest_neighbor_search,14,176.685460
estimate_transform,14,0.462756
grid_index_construction,14,4.281306
profile_metrics,14,355.936077
nearest_neighbor_search,15,176.828052
estimate_transform,15,0.467965
grid_index_construction,15,4.281695
profile_metrics,15,351.632424
nearest_neighbor_search,16,174.157691
estimate_transform,16,0.451669
grid_index_construction,16,4.255948
profile_metrics,16,346.579279
nearest_neighbor_search,17,174.966932
estimate_transform,17,0.450149
grid_index_construction,17,4.333593
profile_metrics,17,343.280827
nearest_neighbor_search,18,180.958901
estimate_transform,18,0.496462
grid_index_construction,18,4.166093
profile_metrics,18,341.406668
nearest_neighbor_search,19,171.718361
estimate_transform,19,0.408746
grid_index_construction,19,4.237091
profile_metrics,19,340.209433
nearest_neighbor_search,20,172.891073
estimate_transform,20,0.450972
grid_index_construction,20,4.297565
profile_metrics,20,342.327054
nearest_neighbor_search,21,175.103086
estimate_transform,21,0.480979
grid_index_construction,21,4.235013
profile_metrics,21,343.884399
nearest_neighbor_search,22,177.356920
estimate_transform,22,0.499692
grid_index_construction,22,4.142818
profile_metrics,22,348.714303
nearest_neighbor_search,23,179.902716
estimate_transform,23,0.544070
grid_index_construction,23,4.110621
profile_metrics,23,354.886324
nearest_neighbor_search,24,185.729934
estimate_transform,24,0.538086
grid_index_construction,24,4.174009
profile_metrics,24,364.935850
nearest_neighbor_search,25,189.563185
estimate_transform,25,0.504689
grid_index_construction,25,4.998217
profile_metrics,25,366.235290
nearest_neighbor_search,26,193.398440
estimate_transform,26,0.492219
grid_index_construction,26,4.047025
profile_metrics,26,368.891320
nearest_neighbor_search,27,193.211344
estimate_transform,27,0.532156
grid_index_construction,27,4.109259
profile_metrics,27,368.369467
nearest_neighbor_search,28,195.646124
estimate_transform,28,0.630980
grid_index_construction,28,4.089737
profile_metrics,28,369.691044
nearest_neighbor_search,29,194.521584
estimate_transform,29,0.504671
grid_index_construction,29,4.059609
profile_metrics,29,372.215142
nearest_neighbor_search,30,195.571388
estimate_transform,30,0.511090
grid_index_construction,30,4.035838
profile_metrics,30,373.534411
nearest_neighbor_search,31,195.390609
estimate_transform,31,0.521593
grid_index_construction,31,4.103952
profile_metrics,31,371.826238
nearest_neighbor_search,32,190.939123
estimate_transform,32,0.517296
grid_index_construction,32,4.074155
profile_metrics,32,377.014040
nearest_neighbor_search,33,187.861186
estimate_transform,33,0.571911
grid_index_construction,33,4.212417
profile_metrics,33,378.734832
nearest_neighbor_search,34,189.909786
estimate_transform,34,0.525968
grid_index_construction,34,4.170037
profile_metrics,34,389.016502
nearest_neighbor_search,35,190.650968
estimate_transform,35,0.480251
grid_index_construction,35,4.127544
profile_metrics,35,392.845673
nearest_neighbor_search,36,194.915736
estimate_transform,36,0.499668
grid_index_construction,36,4.211997
profile_metrics,36,403.673537
nearest_neighbor_search,37,200.283363
estimate_transform,37,0.519088
grid_index_construction,37,4.394698
profile_metrics,37,402.592795
nearest_neighbor_search,38,200.230041
estimate_transform,38,0.536085
grid_index_construction,38,4.275702
profile_metrics,38,404.299364
nearest_neighbor_search,39,199.054426
estimate_transform,39,0.529402
grid_index_construction,39,4.197622
profile_metrics,39,405.283222
nearest_neighbor_search,40,200.473084
estimate_transform,40,0.493581
grid_index_construction,40,4.367104
profile_metrics,40,407.141459
nearest_neighbor_search,41,199.598667
estimate_transform,41,0.499836
grid_index_construction,41,4.305600
profile_metrics,41,407.521494
nearest_neighbor_search,42,202.584957
estimate_transform,42,0.499011
grid_index_construction,42,4.396673
profile_metrics,42,409.066936
nearest_neighbor_search,43,200.132847
estimate_transform,43,0.519356
grid_index_construction,43,4.276154
profile_metrics,43,405.608898
nearest_neighbor_search,44,203.216636
estimate_transform,44,0.533545
grid_index_construction,44,4.144366
profile_metrics,44,409.677796
nearest_neighbor_search,45,200.856117
estimate_transform,45,0.541327
grid_index_construction,45,4.183667
profile_metrics,45,406.358177
