region,iteration,milliseconds
target_generation,1,8.120796
source_transform_deform_noise,1,24.294310
grid_index_construction,0,2.607649
grid_index_construction,0,5.148723
profile_metrics,0,497.995702
nearest_neighbor_search,1,234.710310
estimate_transform,1,0.357277
grid_index_construction,1,4.411896
profile_metrics,1,474.987931
nearest_neighbor_search,2,235.186566
estimate_transform,2,0.358013
grid_index_construction,2,4.321411
profile_metrics,2,477.343304
nearest_neighbor_search,3,226.806493
estimate_transform,3,0.488746
grid_index_construction,3,4.434033
profile_metrics,3,465.513420
nearest_neighbor_search,4,240.555549
estimate_transform,4,0.476783
grid_index_construction,4,5.002274
profile_metrics,4,459.141661
nearest_neighbor_search,5,218.268375
estimate_transform,5,0.349874
grid_index_construction,5,4.561979
profile_metrics,5,443.930202
nearest_neighbor_search,6,217.049631
estimate_transform,6,0.357136
grid_index_construction,6,4.269085
profile_metrics,6,478.064619
nearest_neighbor_search,7,240.966666
estimate_transform,7,0.378796
grid_index_construction,7,4.715865
profile_metrics,7,427.209612
nearest_neighbor_search,8,207.747690
estimate_transform,8,0.349684
grid_index_construction,8,4.390488
profile_metrics,8,434.701378
nearest_neighbor_search,9,202.156767
estimate_transform,9,0.383948
grid_index_construction,9,4.808045
profile_metrics,9,408.382940
nearest_neighbor_search,10,202.060588
estimate_transform,10,0.363258
grid_index_construction,10,4.844833
profile_metrics,10,438.762933
nearest_neighbor_search,11,199.883345
estimate_transform,11,0.401599
grid_index_construction,11,4.788492
profile_metrics,11,406.330749
nearest_neighbor_search,12,199.512270
estimate_transform,12,0.401580
grid_index_construction,12,4.998796
profile_metrics,12,402.726438
nearest_neighbor_search,13,202.046862
estimate_transform,13,0.543915
grid_index_construction,13,4.324802
profile_metrics,13,390.027763
nearest_neighbor_search,14,187.027714
estimate_transform,14,0.417462
grid_index_construction,14,4.571803
profile_metrics,14,390.034377
nearest_neighbor_search,15,191.754310
estimate_transform,15,0.375994
grid_index_construction,15,5.116874
profile_metrics,15,390.245468
nearest_neighbor_search,16,189.712392
estimate_transform,16,0.384042
grid_index_construction,16,4.792065
profile_metrics,16,377.485527
nearest_neighbor_search,17,187.702753
estimate_transform,17,0.527293
grid_index_construction,17,5.628521
profile_metrics,17,383.289428
nearest_neighbor_search,18,189.317133
estimate_transform,18,0.384887
grid_index_construction,18,4.307872
profile_metrics,18,380.505459
nearest_neighbor_search,19,188.378472
estimate_transform,19,0.388489
grid_index_construction,19,4.575570
profile_metrics,19,383.368317
nearest_neighbor_search,20,189.969587
estimate_transform,20,0.392097
grid_index_construction,20,4.334610
profile_metrics,20,365.904878
nearest_neighbor_search,21,186.209243
estimate_transform,21,0.400612
grid_index_construction,21,4.347958
profile_metrics,21,391.717495
nearest_neighbor_search,22,194.022155
estimate_transform,22,0.651645
grid_index_construction,22,4.628172
profile_metrics,22,369.812190
nearest_neighbor_search,23,194.351157
estimate_transform,23,0.639690
grid_index_construction,23,4.192000
profile_metrics,23,385.363556
